go 1.10.8 Mon Feb 17 20:18:34 MSK 2020

PROJECT                                    CONSTRAINT         VERSION        REVISION  LATEST   PKGS USED
github.com/BurntSushi/toml                 v0.3.1             v0.3.1         3012a1d   v0.3.1   1   
github.com/GehirnInc/crypt                 branch master      branch master  6c0105a   6c0105a  5   
github.com/Joker/jade                      v0.7 (override)    v0.7           35b3f5b   v0.7     1   
github.com/Shopify/goreferrer              branch master      branch master  ec9c9a5   ec9c9a5  1   
github.com/ajg/form                        v1.5.1             v1.5.1         5c4e226   v1.5.1   1   
github.com/aymerick/douceur                v0.2.0             v0.2.0         c5c95ec   v0.2.0   1   
github.com/aymerick/raymond                branch master      branch master  b565731   b565731  4   
github.com/chris-ramon/douceur             v0.2.0             v0.2.0         c5c95ec   v0.2.0   1   
github.com/davecgh/go-spew                 v1.1.1             v1.1.1         8991bc2   v1.1.1   1   
github.com/dgrijalva/jwt-go                v3.2.0             v3.2.0         06ea103   v3.2.0   1   
github.com/eknkc/amber                     branch master      branch master  cdade1c   cdade1c  2   
github.com/fatih/structs                   v1.1.0             v1.1.0         4966fc6   v1.1.0   1   
github.com/flosch/pongo2                   branch master      branch master  bbf5a6c   bbf5a6c  1   
github.com/foomo/htpasswd                  branch master      branch master  e3a90e7   e3a90e7  1   
github.com/gavv/monotime                   branch master      branch master  30dba43   30dba43  1   
github.com/google/go-querystring           branch master      branch master  c8c88db   c8c88db  1   
github.com/gorilla/css                     v1.0.0             v1.0.0         398b0b0   v1.0.0   1   
github.com/gorilla/schema                  v1.1.0             v1.1.0         124d17e   v1.1.0   1   
github.com/hashicorp/go-version            v1.2.0             v1.2.0         ac23dc3   v1.2.0   1   
github.com/imkira/go-interpol              v1.1.0             v1.1.0         5accad8   v1.1.0   1   
github.com/iris-contrib/blackfriday        branch master      branch master  48b3da6   48b3da6  1   
github.com/iris-contrib/formBinder         branch master      branch master  612838d   612838d  1   
github.com/iris-contrib/go.uuid            branch v2          branch v2      36e9d2e   36e9d2e  1   
github.com/iris-contrib/httpexpect         branch master      branch master  ebe99fc   ebe99fc  1   
github.com/iris-contrib/middleware         ^10.0.0            v10            1060fbb   v10      1   
github.com/json-iterator/go                branch master      branch master  7acbb40   7acbb40  1   
github.com/juju/errors                     branch master      branch master  d42613f   d42613f  1   
github.com/kataras/golog                   branch master      branch master  6c00b7b   6c00b7b  1   
github.com/kataras/iris                    ^10.7.0            v10.7.1        39b8b1e   v10.7.1  27  
github.com/kataras/pio                     v0.0.2             v0.0.2         5eb0ee4   v0.0.2   2   
github.com/kataras/survey                  v1.6.2 (override)  v1.6.2         f30c5d1   v1.6.2   1   
github.com/kballard/go-shellquote          branch master      branch master  95032a8   95032a8  1   
github.com/klauspost/compress              v1.10.0            v1.10.0        b9d5dc7   v1.10.0  2   
github.com/mattn/go-colorable              v0.1.4             v0.1.4         98ec13f   v0.1.4   1   
github.com/mattn/go-isatty                 v0.0.12            v0.0.12        7b513a9   v0.0.12  1   
github.com/mgutz/ansi                      branch master      branch master  9520e82   9520e82  1   
github.com/microcosm-cc/bluemonday         branch master      branch master  0a75d76   0a75d76  1   
github.com/modern-go/concurrent            1.0.3              1.0.3          bacd9c7   1.0.3    1   
github.com/modern-go/reflect2              1.0.1              1.0.1          4b7aa43   1.0.1    1   
github.com/moul/http2curl                  v1.0.0 (override)  v1.0.0         9ac6cf4   v1.0.0   1   
github.com/pmezard/go-difflib              v1.0.0             v1.0.0         792786c   v1.0.0   1   
github.com/ryanuber/columnize              branch master      branch master  9e6335e   9e6335e  1   
github.com/sergi/go-diff                   v1.1.0             v1.1.0         58c5cb1   v1.1.0   1   
github.com/shurcooL/sanitized_anchor_name  v1.0.0             v1.0.0         7bfe4c7   v1.0.0   1   
github.com/stretchr/testify                v1.4.0             v1.4.0         221dbe5   v1.4.0   2   
github.com/teris-io/cli                    v1.0.1             v1.0.1         903598a   v1.0.1   1   
github.com/xeipuuv/gojsonpointer           branch master      branch master  02993c4   02993c4  1   
github.com/xeipuuv/gojsonreference         branch master      branch master  bd5ef7b   bd5ef7b  1   
github.com/xeipuuv/gojsonschema            branch master      branch master  b537c05   b537c05  1   
github.com/yalp/jsonpath                   branch master      branch master  5cc68e5   5cc68e5  1   
github.com/yudai/gojsondiff                1.0.0              1.0.0          7b1b7ad   1.0.0    2   
github.com/yudai/golcs                     branch master      branch master  ecda9a5   ecda9a5  1   
golang.org/x/crypto                        branch master      branch master  1d94cc7   1d94cc7  4   
golang.org/x/net                           branch master      branch master  1617124   1617124  4   
golang.org/x/sys                           branch master      branch master  12a6c2d   12a6c2d  1   
golang.org/x/text                          v0.3.2             v0.3.2         342b2e1   v0.3.2   16  
gopkg.in/AlecAivazis/survey.v1             v1.8.8             v1.8.8         da50cce   v1.8.8   2   
gopkg.in/yaml.v2                           v2.2.8             v2.2.8         53403b5   v2.2.8   1   
